text,label_id
Xem Tripdi chỉ thích nhất mấy đoạn ntn 😂 ❤", 1
Bố cục cảnh quay hiện đại đẹp xem cảm tưởng còn hay hơn phim qiôc gia, 1
Video suất sắc xem như chạm đến mọi khác quan của cơ thể mình. Những video như thế nào xứng đáng được nhiều view hơn nữa, 1
ekip quay đẹp xuất sắc, 1
Cô gái nên bỏ câu ngay cả người bản địa chưa chắc đã biết nghe nó không thân thiện lắm và qua câu nói đó nó nói lên xã giao của người dẫn chuyện
Wow ✨, 1
Có phải tik tok Mây lang thang ko 😂, 1
Giọng nói của mây dễ thương quá 🎉, 1
Tập này quay đẹp quá. Chúc kênh ngày càng phát triển và có nhiều clip hay hơn nữa!, 1
Cảnh đẹp người cũng đẹp❤ ❤❤❤, 1
"Chúc e người con gái duyên dáng đáng yêu lại nói chuyện dễ thương,chúc em và toàn bộ ae trong kênh ngày càng phát triển nhá", 1
Năm Mới mến chúc Mây và team nhiều vui vẻ và an nhiên nhé!", 1
"Những thước phim của team rất đẹp, c Mây thì dễ thương, chúc team thành công nhiều hơn nữa.", 1
Biết Quỳnh qua Gearup và thấy nói chuyện rất duyên, 1
Cảm ơn em đã chia sẻ những thước phim rất đẹp về Cao Bằng. Chúc cho kênh ngày càng phát triển có nhiều video hay thú vị cho khán giả🎉🎉, 1
Cảnh đẹp quá em ơi ❤, 1
Flycam quay đẹp thật, 1
Đẹp quá giống như bên Trung Quốc, 1
"Người đẹp, cảnh đẹp. Đội ngũ quay phim chuyên nghiệp.", 1
Cây sâu xưa bé đi học mùa xuân có con sâu to chà bá bằng ngón tay xanh lè có gai hay lấy về trêu mấy đứa con gái😂, 1
"C đi nguyên bình phia oắc- phia đén đi ạ, đang có băng đẹp lắm ạ", 1
Qua thu vi, 1
TRÙNG KHÁNH QUÊ TÔI ĐẸP TUYỆT VỜI, 1
Clips hay....thú vị lắm, 1
"Cám ơn bạn @tripdivn đã làm 1 video rất đẹp về Cao Bằng. Lá Sau Sau cũng được gọi là lá Phong. Sau Sau là Phong Hương( Formosan Gum ), còn Phong Đỏ( Maple Leaf ) là biểu tượng đại diện của Canada. Trên quốc kỳ của họ, nó được in trên nền trắng ở giữa hai sọc đỏ."
Ok❤❤❤, 1
Trời ơi đẹp quá tripe ơi ❤❤, 1
đẹp ❤❤, 1
":3 là người Cao Bằng 🏞️ mà em còn chưa đến hồ Bản Viết bh, mà ở hồ có thêm chút nắng 🌄 nhẹ ấm sẽ chill hơn, không biết ở đó có món khẩu xi không nhỉ, khi nào vào mùa có bánh trứng kiến 🐜 với món chè lam chị Mây nhớ river ẩm thực nữa nha :&gt;. , à cả món cốm chộn đường trắng nữa chị ạ"
"Làm nội dung video, âm thanh chuyên nghiệp quá, người xem cảm thấy thư giãn cùng luôn ấy, like", 1
"Mình đã đi Cao Bằng 4 lần, nhưng chưa lần nào đi vào mùa lá đỏ, quá đẹp. Hẹn cuối năm 2025 này sắp xếp cv đi bằng đc. Cảnh đẹp, người đẹp, ekip quá xuất sắc 💜"
canh dep qua ban, 1
Xem tripdi mỗi số mình tò mò số tiếp theo Mây đi xe gì 😂😂😂, 1
"Đẹp quá/, ❤❤❤", 1
"Cảnh đẹp, Mây đẹp, xe nào lên video cũng đẹp ❤❤❤", 1
"Team này đỉnh thật sự. Video thật đẹp. Cô gái thật duyên dáng. Cao Bằng thật đẹp. À quên, chiếc xe trong video cũng đẹp mê mẩn", 1
"Khi hậu Tây Bắc thích hợp với cây đổi màu lá từ xanh qua đỏ qua tím qua vàng như những cây ở Canada, Mỹ hay Nhạt Bản.  Nếu như anh là chính quyền ở những vùng Tây Bắc, anh sẽ qua nhưng nơi này mang giống về trồng, chắc chắn sẽ mang nguồn du lịch về khổng lồ.  Em thử google Fall Foliage Kyoto, New England (usa), Ontario, quebec, Algonquin, thousand islands (Canada).  Tuyệt đẹp.", 1
"Chưa nói đến nội dung những thước phim nói không quá là đẹp nhất về Cao Bằng từ trước đến nay , cảm ơn tripdi và các bạn trong ekip , xuất sắc triệu view thôi nào 😊", 1
"Em gái rất dễ thương, đẹp, review hay  rất tự nhiên, và quây toàn là cảnh đẹp không, chị rất thích xem kênh của em❤", 1
"trời ơi, cao bằng qua ống kính của mây đẹp quáaaaa", 1
Quá đẹp, 1
"Video quay đẹp quá em , chúc kênh sớm đạt nút vàng ❤", 1
