text,label_id
"Kể từ ngày đó tôi k còn thấy e nữa, trong tôi chỉ còn nỗi vấn vương. tôi tự hỏi liệu chúng ta có còn gặp nhau k, nói những niềm vui của chúng ta đã trả qua hay những điều làm chúng ta đau.",2
"mình nge từ 2022 chỉ 1 list, mỗi lần nge là khóc",2
"Buồn vaiz,hôm nay tặng bbim cho cr mà nó kh nhận,........🥺😓🩸",2
tôi sẽ không bao giờ quên ngày hôm nay khi mà tôi đã bị mất tất cả những gì tôi đã từng gây dựng lên,2
ê tính ra tôi đang bỵ chia tay luôn á,2
nhớ người ấy quá 😭😭😭,2
Cmn đả buồn rồi còn  lấy muối tha vàu vêa thương,2
"t nhắn cho nó : Mình biết chuyện giữa chúng ta đã kết thúc, và mình tôn trọng quyết định của bạn. Mình thật sự mong bạn sẽ hạnh phúc và tìm được người mang đến cho bạn niềm vui, sự an yên mà bạn muốn và xứng đáng với bạn. Dù không còn là của nhau, nhưng mình vẫn sẽ luôn chúc bạn những điều tốt đẹp nhất trên con đường sắp tới của bạn. Hãy sống thật vui, thật trọn vẹn, và hy vọng bạn sẽ giữ những kỷ niệm đẹp về chúng ta mà không cảm thấy nặng nề byee emm........",2
Nghe mà đẫm lệ gối😢,2
"<a href=""https://www.youtube.com/watch?v=yMLFKDafCx0&amp;t=21"">00:21</a>p ngày 12/11/2025. Một ngày tồi tệ tiếp tục, không hiểu là em cố ý hay thật sự khinh thường chính người chồng của em. Anh đến với em từ khi anh chưa có gì và em cũng vậy, tấm lòng bao dung của cả 2 hầu như đều có giới hạn, nhưng em à anh thấy mình thật sự không còn nhận được em nói từ ngọt ngào trong 2 năm qua cả anh nhận ra khi cách cư xử của em với anh nó không còn như trước. Có phải em đã sai khi chọn anh không? Nếu chọn anh là sai thì em hãy cứ yên tâm em nhé. Anh sẽ trả lại hết cho em bầu trời khi anh chưa đến chưa đeo nhẫn cưới lên tay em.",2
Tôi khóc quá nhiều rùi đến lúc nghỉ ngơi rùi các bạn 😢,2
mik nhớ về người nào đó,2
Khóc thiệc lun á 😭,2
"chúc cô gái ah từng yêu hạnh phúc tìm được 1 ng tốt hơn anh.Anh xe luôn nhớ kỉ niệm giữa hai chung ta,chúng ta đã từng hạnh phúc đến nhường nào,tiếc rằng chúng ta không thể ở bên nhau mãi mãi được.Chúc em hạnh phúc người con gái anh từng yêu❤❤",2
nghe 1 lần khóc luôn,2
Hazzz mới chia tay song nghe nhạc mò nước mắt cứ rơi é 😞,2
Mình mới chia tay Ny mà nghe nhạc này tui 😢 khóc và nhớ Ny cũ á 😢😢😢😢 tui cảm ơn bài nhạc này,2
cuộc sống ah mày ổn không trong đầu một mỡ hỗn độn cơm ao gạo tiền cố gắng hay cư đẻ thuận theo tự nhiên đây.buồn quá mà trả biết tâm sự với ai chỉ biêt trải lòng vao đây.cố lên tôi ơi,2
Mỗi lần buồn là lại mở nhạc buồn nghe tại sao v 😊,2
buồn á nghe muốn khóc luôn...mà khóc rùi còn đâu:))),2
Ai còn nghe không ạ..tôi đã khóc vì 1 ng vô tâm,2
Mạnh mẽ lên anh cố lên anh hông được rơi nước mắt anh ❤anh buồn rủ em nha,2
Buồn😢😢,2
nhạc này 😢buồn <br> quá,2
Anh thua người ấy<br><br>Anh chỉ bít thương em yêu em không lo đc cho em lúc em cần <br>Khoảng thời gia yêu em anh chỉ là 1 thằng sinh viên yeu em si tình …!<br>Không vật chất chỉ có tỉnh cảm <br>Tới giờ 10 năm đôi khi vẫn nhớ về em …!,2
"<a href=""https://www.youtube.com/watch?v=yMLFKDafCx0&amp;t=1012"">16:52</a> ngày 13/6 anh đau quá anh buông tay em nhé",2
mới cãi vs bồ nghe bài này khóc lun ☺️,2
"Chúng ta đã kết thúc rồi sao vậy mà cứ nghĩ sao bên nhau mãi mãi. Ai mà ngờ trong đoạn tin nhắn yêu thương ấy lại xuất hiện chữ dừng lại☹. Em k muốn chia tay chút nào, nhưng mà chúng ta k có duyên ở kiếp này, hẹn kiếp sau chúng ta sẽ gặp nhau. Cũng cảm ơn chị ở kiếp này chúng ta có một chút duyên để gặp nhau nhưng k thể ở bên nhau. Mong là chia tay nhưng chúng ta vẫn là bạn☹. Chúc chị tìm được người tốt hơn em, vì em là người tồi, người k có tình cảm, người k bt tìm câu chuyện để nói chuyện với chị,.... nên k thể giữ đc chị ở bên. Nếu kiếp sau đủ duyên mong rằng chúng ta sẽ gặp lại nhau và em sẽ giữ chị để chị k rời xa em. Cảm ơn chị mối tình đầu của em. Chúc chị hạnh phúc bên người chị muốn. Hẹn gặp lại. Em yêu chị☹😭",2
hôm nay anh lại nhớ em rồi,2
"Mình đã thích thầm 1 người bạn gái . Bạn đấy tên Mai Thanh rất hiền , luôn chơi cùng mình . Bây giờ mình đã phải bỏ đi,cuối năm học bạn đấy lại bỏ mình ko chơi với mình như mọi ngày . Mình đã rất buồn khi bạn đấy lại bỏ mình😢😢😢😢.Mình ko biết bạn đấy còn chơi với mình nữa ko .nhưng mình tin bạn đấy sẽ ko bỏ mình❤❤❤. Nếu bạn đọc đọc lời nhắn này thì bạn giải thích hộ mình . Tại sao bạn lại bỏ mình ko chơi với mình ko nói chuyện với mình bạn giải thích đi , tại sao!",2
"anh biết là em đã nghĩ rất kỹ về chuyện này ,em muốn anh biết rằng anh rất quan trọng những gì   anh đã mang lại cho cuộc sống của  em ,em cũng biết anh cũng không dễ dàng để đưa ra quyết định này và anh hãy luôn hạnh phúc  anh nhé  ☺️... em  luôn nhớ về những kỉ niệm đẹp nhất trong xuất 3 năm quen nhau của chúng ta giờ đây những kỉ niệm đẹp của chúng ta cũng chỉ là quá khứ mà thôi ..💔tạm biệt anh nhé....😔",2
Nam 2021 mình thất tình rất thích nghe giờ 2025 có vợ con rồi nghe lại thấy nhớ nyc,2
"Chào em nhé S, chị không biết em sẽ xem video này không nhưng em biết không, chị nhớ năm đó em với chị yêu nhau, giờ chị nghĩ ta quay lại sẽ rất hạnh phúc nhưng trái tim em lại hướng về người khác lại không phải chị, chị buồn lắm. Đúng lúc chị đang nhậu với lớp, S à, chị chúc em hạnh phúc với người ấy. Cảm ơn em vì thanh xuân năm đó, năm đó chị tồi thật....Chắc đây là quả báo của chị, cảm ơn em vì thời gian ngắn ngủi bên cạnh chị. Cảm ơn em nhé, yêu em",2
"😌😭😞 <br>bài này chả biết còn ai <br>Chia tay nyc đến bây giờ cũng phải đc 4 năm trôi qua rồi từ lúc mà t bị nyc cắm cho 2 cái sừng thì t bắt đầu thay đổi thích hút thuốc lá thích uống rượu bia nhậu nhẹt với bn bè ít ra ngoài đường thích ở nhà, thích 1 mh 😭😌😞<br>Chả biết bây giờ còn ai nghe ko nhỉ <br>Chắc là chỉ có những kẻ suy tình như bọn mh nghe thôi nhỉ",2
"đau lắm chứ , ko biết bản thân năm 2030 sẽ có mqh j nx , bn sẽ chôn dáu tất cả ng bạn thương rất nhiều sâu đậm 9th5...",2
biết nghe là buồn nhưng lại thích nghe,2
"Em chỉ muốn anh dành thời gian cho em và còn nhiều hơn 1 chút,chỉ cần anh về sớm hơn 30p so với cuộc chơi của anh với bb ae của anh là được,nhiều lúc anh nói em đòi hỏi vô cớ ở anh,anh vv nhưng anh có bao giờ nghĩ đến vk con anh k? Có những đêm em sợ k ngủ được,em bật khóc,em mệt mỏi.em suy nghĩ nhiều vì trong lòng anh k có chỗ cho vk con anh,k coi vk con anh ra gì.xl nếu một ngày nào đó em lầm đường lạc lối thì cũng là do anh mà ra.",2
Nhạc hay quá ❤ đang buồn nghe nhạc song càng buồn hơn😢💀☠️,2
Trước đây thích nàng nhưng không dám nói . Bây giờ không . Sau này thì càng không thể . Tôi và nàng cách xa nữa vòng trái đất không biết đến bao giờ mới có thể gặp lại 😢 nàng xinh đẹp giỏi giang còn tôi thì vẫn lận đận với cuộc sống haizz. Thỉnh thoàng nhớ lại kỷ niệm 2 đứa bên nhau vui đùa ngày đó và nhủ lòng mình giá như... 😢,2
"Haha , cuộc đời này chẳng phải cái gì quá cũng tốt..., tài khoản này tao biết rằng mày có thể đọc được bình luận này , tao chỉ muốn nói 1 điều thôi , tao chỉ có mày là người tao muốn giữ riêng cho tao... , nhưng mà tao hiểu rằng tao và mày chẳng là cái gì của nhau , chỉ ở danh nghĩa là người bạn ,  những người đàn ông xung quanh mày , tao cảm thấy buồn lắm chứ , tao đã từng nói tao yêu mày... , tao cảm thấy ghen là chuyện bình thường nhưng mà tao lại chẳng phải người yêu mày , vì vậy tao chả có quyền gì để mày phải làm theo những gì tao nói cả , haha , tao ổn mà , chỉ là tao muốn giữ mày riêng cho tao thôi , tao ích kỷ vậy đó , tao đã bị bệnh từ nhỏ , tao sinh non , tao bị những cái tồi tệ nhất, tao rất hay muốn tự tử cũng vì điều đó , tao gặp được mày làm tao rất vui, nhưng giờ tao chẳng hiểu tại sao tao lại như này, mày chỉ xem tao là một người bạn đúng nghĩa, còn tao lại xem mày như một người để tao yêu 😌<br>Tao xin lỗi vì tất cả , tao không muốn làm phiền mày nhiều đến vậy, tao biết mày không muốn yêu , nhưng cảm xúc của tao hiện tại là yêu đơn phương, tao muốn trước khi chết có thể ở bên mày lắm , Tao xin lỗi nhé , hãy tha thứ cho tao ☺️❤️",2
"😔😔, nghe xg khóc 😊",2
30T nghe rồi vẫn khóc ☻,2
"Cảm ơn bạn, nhạc hay lắm, t vừa nằm trên xe, vừa ngắm phố, vừa nghe và vừa nghĩ về quá khứ. Cũng buồn nma đời còn dài phía trước, cố lên tôi ơi!",2
"Tui và anh quen nhau từ khi còn nhỏ xíu tui yêu anh nhiều lắm, anh thì tôi ko chắc tại lúc đó tui chỉ đơn phương thôi lúc đó anh sống gần nhà tui ,đi ra đi vô gặp hoài đó là những năm cấp2  đẹp nhất, tui vì  sợ bị ảnh từ chối và cũng vì còn bé nên chẳng dám nói  nhưng có một lần anh say riệu anh kéo tui vào phòng rồi anh hôn tôi , nói thật lúc đó tui hạnh phúc lắm vì nghĩ anh đã nhận ra tình cảm của tui ,hôn xong lại xỉu  tui đã đưa anh về ,tuy tui và anh chỉ là hàng xóm nhưng bamẹ cũng thân.sau bữa đó tui thấy anh cũng chẳng có gì thay đổi như chưa từng có gì xảy ra hay anh đã quên chỉ có mình tui tỉnh táo chỉ có mình tui nhớ tui lại thích anh nhiều hơn mà tui cứ sợ anh ko đồng ý lại ghét tui nhiều hơn bình thường anh cũng quá lạnh lùng  nên tui sợ lắm , đến lúc lên cấp 3 anh có người yêu hôm đó tui thấy anh dắt chị ấy về nhà cùng 1vài người bạn, mà vì sao tui biết chị ấy là người yêu ,vì tui đã trong thấy anh ôm hôn chị ấy rất thắm thiết  anh nâng niu chị ấy như báo vật vậy,   ôm ấp mãi ko rời khi nhìn thấy cảnh tượng đó lòng tui như thất lại , đau lắm. nhưng mà cũng chỉ là tình đơn phương chắc anh đã quên nụ hôn ấy r rằng đó chỉ là một sự cố ko nên xảy ra  , chỉ có một mình tui nhớ mãi không quên thôi nói thật là rất đau , thời gian đó tui suy xụp vô cùng , bây giờ khi nghĩ lại trong lòng dân trào một cảm giác hoài niệm về anh , anh cũng đã cưới vợ r còn có 1đứa con , hôm nay trông thấy anh về quê,tui lại nhớ lại những chuyện ngày xưa nên lên đây viết vài dòng vậy",2
Nghe xong rồi nhớ anh ấy lắm nhưng anh ấy mất rồi nhiều lúc nhớ anh ấy lắm nhưng chẳn bảo giờ gặp lại anh ấy nữa,2
Bây giờ cảm giác của tui ko ai hiểu đc khi mất Ny tui chỉ cô đơn 1 mik,2
Tôi buồn vì chuyện gia đình và tình yêu tôi muốn buông bỏ tất cả buông xuôi không muốn phải đấu tranh tranh giành nữa tôi muốn chết đi để không muốn nhớ về người ấy và không muốn gặp ba mẹ chút nào nữa ☺️☺️,2
Tôi khóc rồi 😢😢😢😢,2
NY mới chia tay😔,2
Nghe mà nhớ nyc không biết anh ấy sống có tốt k 😢,2
nghe mà buồn á nhưng tui hỏi này khi bị cắm sừng có buồn không bạn ai trả lời câu này giúp tui nhé 🤔🤔🤔,2
toi chia tay r,2
Rất cảm ơn tới bạn tôi nghe trong lúc tôi bị áp lực từ chính gia đình mình và mị khóc luôn😔😭😞,2
Hay quá đi mik nghe mik khóc luôn,2
buồn,2
"Trong lòng hỗn độn nước mắt vô thức tuôn hai dòng bật khóc vì bao tổn thương mà lâu nay để dành 1 góc trong tim nay đã vỡ oà , hy vọng se ổn",2
MUỐN KHÓC VÌ ☠️😓😭😨😰🤕📲🏃‍♂️💘💔😣😉,2
nghe mà muốn khóc 😢😢😢😢😢,2
Vừa thất tình xg bật nhạc để bớt buồn nhưng chủ yếu là giải tỏa hết nỗi buồn trong tim 😢,2
"Nếu cậu đọc được thì hãy hiểu cho tớ , tớ là một cô gái đã trải qua nhiều . mối quan hệ nhưng mà cậu ơi thương tớ thic hoggg để tớ đc khóc tủi thân vì cô gái này đã trải qua nhiều mối quan hệ rồi  thương eh xin ah đường bỏ emmmmm theo cô gái khác nhá🥺",2
"neu nhmk có đọc dc thì e xinloi vì tatca chuyện e đã lm vì cuộc choi mà e bỏ di 1 ng thuong em vô điều kiện. e ngu l qa kk lúc có a e kh biet trantrong tới lúc mất thì hối hận. a biet hong cx nữa năm oi. e vẫn theo dõi a sống ra sao lúc thấy anh hp bên gd e cungg vui lam. nhieu lúc e nho anh kinh khủng ln nma kh dám lm phiền cuộc sống dag yên ổn của anh nếu có cơ hội e cx kh muốn quay về bên a. e thất hứa oi kk . e là ng bỏ a mà em lại buon. Lúc e nghe a nói a chọn cô ấy chỉ vì những điều cô ấy lm cho a điều lạ lần đầu như chải tóc nắm tay. e xinloi vì a kh ph ng đầu tiên e lm điều đó nma a là ng e thuong nhat từ trc tới h, những thứ a tặng e, e vẫn cất ở đó vì e sợ nó bị dơ nma hoi anhbe nhớ ph thực hp đóo kh là e hận anh lam luonn",2
Tôi sợ họ phản bội tôi 😢<br>Vì yêu xa quá ☺️,2
"Hôm nay là ngày tôi kết thúc mối tình thứ 3, đây cũng là với người tôi yêu nhất từ trước tới giờ,, Cả hai đã cùng nhau trải qua những lúc tồi tệ nhất của 2 đứa, vui buồn, hanh phúc đều có và tưởng chừng hai đứa sẽ kết thúc bằng một đám cưới viên mãn. Nhưng mà, cô ấy phản bội tôi, cô ấy ngủ với một người khác là đồng nghiệp của cô ấy. Cô ấy dấu tôi được mấy ngày. Và Có lẽ vì còn 1 chút gì cảm giác tội lỗi nên cô ấy nói thật với tôi. <br>Lúc ấy tôi như chết lặng, ĐAU không đủ để diễn tả được tôi khi đó.<br>Cô ấy trách tôi vô tâm, trách tôi ích kỷ, trong khi quen chỉ nghĩ đến bản thân tôi, không nghĩ đến cô ấy, trách tôi không lo được cuộc sống cho cô ấy sau này, trách lòng tự tôn của tôi quá cao, ... Nên vì một phút sai lầm cô ấy mới như vậy, <br>Như vậy là tôi sai sao 😂.Tôi cũng không biết nói gì ngoài im lặng<br>Cả đêm tôi nằm suy nghĩ rất nhiều, đấu tranh tư tưởng, dằn vặt cuối cùng đưa ra một QĐ mà ngay cả chính bản thân tôi cũng không ngờ.<br>Một người luôn rất tự cao, luôn có cái tôi rất lớn lại đưa ra phương án như vậy. <br>Tôi bằng lòng bỏ qua mọi chuyện và xem đây chỉ là sự cố. Chúng ta bắt đầu lại, vun đắp lại tình cảm mới, đây là suy nghĩ thật sự, không có một chút nào chịu đựng. Có lẽ một số người khi đọc tới đây sẽ bảo tôi ngu :). Nhu nhược biết sao được, vì con tim và cả lý trí tôi đều chọn như thế mà.<br>Nhưng vì quá hiểu rõ cô ấy nên tôi biết cô ấy sẽ muốn dừng lại, cô ấy nói hết tình cảm, cô ấy muốn tìm hiểu người mới, cô ấy không mạnh mẽ như tôi, không đủ sức đối mặt với tôi những ngày tháng sau này. Chính vào lúc ấy tôi rất tuyệt vọng, tôi hận tôi muốn phá hủy tất cả, nghĩ đến mọi thứ tiêu cực nhất, trong lòng tôi chỉ còn là lòng thù hận vì bị phản bội, tôi muốn cho 2 người kia phải nhận lấy những gì họ đáng ra phải nhận...<br>Nhưng có lẽ một người đã từng trải qua mọi thứ như tôi rượu chè, cờ bạc, gái gú, đã từng rất thành công, và cũng từng thất bại,  Và cũng đã vựt dậy sau mỗi lần như vậy. Chắc có lẽ vì những điều đó nên tôi còn giữ được một chút lý trí. Tôi nghĩ đến gia đình mình, đến những người luôn yêu mến tôi, nghĩ rằng nếu mình làm những việc như vậy chắc họ sẽ buồn lắm. :)  tôi nhốt mình ở một chỗ không ai, tôi suy nghĩ rất nhiều nhớ về những kỷ niệm, tôi khóc thật to, hét thật lớn, rồi cười, rồi khóc. Đã nhiều năm kể từ lúc tôi thất bại đến bây giờ chưa bao giờ tôi được khóc như vậy. 30 tuổi rồi nhưng lại khóc như đứa trẻ.<br> Đến khi đủ rồi, tôi thấy lòng mình  nhẹ nhàng hẳn ra, tôi nghĩ thông suốt ,tôi quyết định rời đi, không một chút oán hận hay trách móc gì với cô âý, trước khi rời đi tôi tặng cho cô ấy bó hoa mà cô ấy thích nhất, Chỉ mong rằng cô ấy được hạnh phúc với lựa chọn của cô ấy.<br>Câu chuyện của tôi hi vọng sẽ cho các bạn thấy được rằng trên đời lại có người ngu như vậy, haha<br>Chúc mọi người dù có chuyện gì xảy ra hãy luôn mạnh mẽ vượt qua nhé, <br>Ưu tiên công việc, sức khoẻ, rồi mới đến tình yêu. Rồi sớm muộn các bạn cũng tìm được người phù hợp với mình",2
Quá nhiều cảm xúc khóc mà ko hiểu vì sao,2
