text,label_id
Quá ghê gớm! mình đã theo dõi kênh này từ lâu nhưng pha xử lý lần này của admin làm mình hoàn toàn bất ngờ vì quá đỉnh.,6
Kinh khủng khiếp.,6
"Cứ tưởng là chuyện đùa ai dè lúc xem xong clip mình mới thấy nó là thật, thực sự quá sốc luôn.",6
"Pha xử lý này thực sự là một đẳng cấp khác, làm mình đi từ ngạc nhiên này đến ngạc nhiên khác mà không kịp trở tay.",6
Ảo thật đấy bro!,6
"Hết hồn hà. không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
Cái gì thế này? mình cứ nghĩ là mình đã biết hết mọi chuyện rồi nhưng sau khi nghe giải thích xong thì mình mới thấy mình còn quá ngây thơ ông giáo ạ!,6
"Lạ lùng vậy? pha xử lý này thực sự là một đẳng cấp khác, làm mình đi từ ngạc nhiên này đến ngạc nhiên khác mà không kịp trở tay.",6
"Đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm.",6
Điếng người luôn.,6
Đang lướt Threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra.,6
"Mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy nhỉ!",6
"Cứ ngỡ là mọi chuyện đã kết thúc rồi ai ngờ lại có một cú plot twist đi vào lòng đất như vậy, làm mình cạn lời luôn.",6
Dẫu biết là cuộc sống luôn có những bất ngờ nhưng cái kết của bộ phim này thực sự làm mình phải đứng hình vì quá gắt.,6
Ảo thật đấy. đang lướt threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra hả!,6
"Kinh khủng khiếp. cứ tưởng là chuyện đùa ai dè lúc xem xong clip mình mới thấy nó là thật, thực sự quá sốc luôn.",6
Lạ lùng vậy vãi!,6
"Ơ kìa... không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
"Đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm thế!",6
Cái kết không thể ngờ. dù đã chuẩn bị tâm lý rất kỹ rồi nhưng khi đối diện với sự thật này mình vẫn cảm thấy vô cùng bàng hoàng và sửng sốt nhỉ!,6
"Chấn động luôn! cứ tưởng là chuyện đùa ai dè lúc xem xong clip mình mới thấy nó là thật, thực sự quá sốc luôn.",6
Quá ghê gớm!,6
Sốc ngang luôn.,6
Ủa thật luôn hả?,6
Thật không đó?,6
Lạ lùng vậy?,6
"Không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
Bất ngờ chưa?,6
"Kinh khủng khiếp. không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn bro!",6
"Kinh khủng khiếp. mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy bro!",6
"Cạn lời, không ngờ tới luôn. dù đã chuẩn bị tâm lý rất kỹ rồi nhưng khi đối diện với sự thật này mình vẫn cảm thấy vô cùng bàng hoàng và sửng sốt.",6
"Nghiêm túc hả? cứ ngỡ là mọi chuyện đã kết thúc rồi ai ngờ lại có một cú plot twist đi vào lòng đất như vậy, làm mình cạn lời luôn.",6
"Cạn lời, không ngờ tới luôn. không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
"Thật không đó? cứ ngỡ là mọi chuyện đã kết thúc rồi ai ngờ lại có một cú plot twist đi vào lòng đất như vậy, làm mình cạn lời luôn.",6
Dù đã chuẩn bị tâm lý rất kỹ rồi nhưng khi đối diện với sự thật này mình vẫn cảm thấy vô cùng bàng hoàng và sửng sốt.,6
Ảo thật đấy. thực sự là không từ ngữ nào có thể diễn tả được sự kinh ngạc của mình lúc này khi chứng kiến cảnh tượng đó ngay trước mắt.,6
Mình đã theo dõi kênh này từ lâu nhưng pha xử lý lần này của admin làm mình hoàn toàn bất ngờ vì quá đỉnh.,6
Mình cứ nghĩ là mình đã biết hết mọi chuyện rồi nhưng sau khi nghe giải thích xong thì mình mới thấy mình còn quá ngây thơ.,6
"Xỉu up xỉu down. đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm.",6
"Cạn lời, không ngờ tới luôn. đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm.",6
Dẫu biết là cuộc sống luôn có những bất ngờ nhưng cái kết của bộ phim này thực sự làm mình phải đứng hình vì quá gắt luôn!,6
"Wow, đỉnh vậy trời bro!",6
Trời ơi tin được không? thực sự là không từ ngữ nào có thể diễn tả được sự kinh ngạc của mình lúc này khi chứng kiến cảnh tượng đó ngay trước mắt.,6
"Hồi nãy mình còn đang cười nói vui vẻ mà đọc xong tin này xong là mặt mình biến sắc luôn, thực sự không ngờ tới tình huống này ghê!",6
Cái gì thế này?,6
"Cạn lời, không ngờ tới luôn.",6
"Cứ tưởng là chuyện đùa ai dè lúc xem xong clip mình mới thấy nó là thật, thực sự quá sốc luôn luôn!",6
Hú hồn chim én.,6
Quá ghê gớm bro!,6
Ảo thật đấy. mình đã theo dõi kênh này từ lâu nhưng pha xử lý lần này của admin làm mình hoàn toàn bất ngờ vì quá đỉnh.,6
Chấn động luôn trời!,6
"Mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy.",6
"Trời ơi tin được không? xem đi xem lại vẫn thấy không thể tin nổi, tại sao họ lại có thể nghĩ ra được những ý tưởng táo bạo và chấn động như thế nhỉ?",6
"Trời ơi tin được không? mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy trời!",6
"Nghiêm túc hả? đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm vãi!",6
Ảo thật đấy.,6
Trời ơi tin được không?,6
"Pha xử lý này thực sự là một đẳng cấp khác, làm mình đi từ ngạc nhiên này đến ngạc nhiên khác mà không kịp trở tay luôn!",6
"Hồi nãy mình còn đang cười nói vui vẻ mà đọc xong tin này xong là mặt mình biến sắc luôn, thực sự không ngờ tới tình huống này.",6
Hết hồn hà.,6
Chấn động luôn luôn!,6
Quá ghê gớm thực sự!,6
"Xỉu up xỉu down. pha xử lý này thực sự là một đẳng cấp khác, làm mình đi từ ngạc nhiên này đến ngạc nhiên khác mà không kịp trở tay hả!",6
"Bất ngờ chưa? vừa mới mở điện thoại lên thấy thông báo mà mình cứ ngỡ là nằm mơ, chuyện này diễn ra quá nhanh và quá bất ngờ.",6
Hết hồn hà á!,6
Quá ghê gớm! dù đã chuẩn bị tâm lý rất kỹ rồi nhưng khi đối diện với sự thật này mình vẫn cảm thấy vô cùng bàng hoàng và sửng sốt.,6
Cái kết không thể ngờ.,6
"Mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy vậy!",6
"Xem đi xem lại vẫn thấy không thể tin nổi, tại sao họ lại có thể nghĩ ra được những ý tưởng táo bạo và chấn động như thế nhỉ?",6
"Không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn á!",6
Xỉu up xỉu down.,6
Chấn động luôn! mình cứ nghĩ là mình đã biết hết mọi chuyện rồi nhưng sau khi nghe giải thích xong thì mình mới thấy mình còn quá ngây thơ.,6
Trời ơi tin được không thực sự!,6
Đang lướt Threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra luôn!,6
Sốc ngang luôn á!,6
Thật không đó á!,6
Chấn động luôn!,6
Nghiêm túc hả?,6
"Vừa mới mở điện thoại lên thấy thông báo mà mình cứ ngỡ là nằm mơ, chuyện này diễn ra quá nhanh và quá bất ngờ.",6
"Không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn vãi!",6
Ảo ma thực sự.,6
Đứng hình mất 5 giây.,6
"Cứ ngỡ là mọi chuyện đã kết thúc rồi ai ngờ lại có một cú plot twist đi vào lòng đất như vậy, làm mình cạn lời luôn á!",6
"Wow, đỉnh vậy trời!",6
"Hồi nãy mình còn đang cười nói vui vẻ mà đọc xong tin này xong là mặt mình biến sắc luôn, thực sự không ngờ tới tình huống này hả!",6
Ơ kìa...,6
Lạ lùng vậy nhỉ!,6
Không tin nổi luôn á.,6
"Cứ tưởng là chuyện đùa ai dè lúc xem xong clip mình mới thấy nó là thật, thực sự quá sốc luôn vãi!",6
Sốc ngang luôn. thực sự là không từ ngữ nào có thể diễn tả được sự kinh ngạc của mình lúc này khi chứng kiến cảnh tượng đó ngay trước mắt.,6
"Nghiêm túc hả? mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy.",6
Hú hồn chim én luôn!,6
Đứng hình mất 5 giây luôn!,6
"Xem đi xem lại vẫn thấy không thể tin nổi, tại sao họ lại có thể nghĩ ra được những ý tưởng táo bạo và chấn động như thế nhỉ đó!",6
"Cái gì thế này? mọi người có tin được không chứ mình là mình chịu thua rồi, không ngờ cái kết nó lại quay xe khét lẹt như vậy luôn!",6
"Trời ơi tin được không? không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn ông giáo ạ!",6
"Sốc ngang luôn. không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
Chấn động luôn! mình cứ nghĩ là mình đã biết hết mọi chuyện rồi nhưng sau khi nghe giải thích xong thì mình mới thấy mình còn quá ngây thơ luôn!,6
Hú hồn chim én trời!,6
"Cái kết không thể ngờ. xem đi xem lại vẫn thấy không thể tin nổi, tại sao họ lại có thể nghĩ ra được những ý tưởng táo bạo và chấn động như thế nhỉ?",6
"Wow, đỉnh vậy trời! đang lướt threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra.",6
Kinh khủng khiếp bro!,6
Thực sự là không từ ngữ nào có thể diễn tả được sự kinh ngạc của mình lúc này khi chứng kiến cảnh tượng đó ngay trước mắt.,6
"Thật không đó? không thể tin được là một người bình thường lại có thể làm được những điều phi thường như thế này, bái phục thực sự luôn.",6
Ảo thật đấy đó!,6
"Hồi nãy mình còn đang cười nói vui vẻ mà đọc xong tin này xong là mặt mình biến sắc luôn, thực sự không ngờ tới tình huống này luôn!",6
Dẫu biết là cuộc sống luôn có những bất ngờ nhưng cái kết của bộ phim này thực sự làm mình phải đứng hình vì quá gắt ghê!,6
Đứng hình mất 5 giây thế!,6
Trời ơi tin được không bro!,6
"Ảo thật đấy. đúng là trên đời này chuyện gì cũng có thể xảy ra được, cái cách mà họ giải quyết vấn đề thực sự làm mình phải há hốc mồm.",6
Hết hồn hà vậy!,6
Nghiêm túc hả? đang lướt threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra.,6
Lạ lùng vậy? đang lướt threads tự nhiên thấy tin này làm mình phải vào kiểm tra ngay lập tức vì không nghĩ là nó có thể xảy ra.,6
"Wow, đỉnh vậy trời! thực sự là không từ ngữ nào có thể diễn tả được sự kinh ngạc của mình lúc này khi chứng kiến cảnh tượng đó ngay trước mắt.",6
